Date,AMC - Adj Close,BB - Adj Close,GME - Adj Close,KOSS - Adj Close,SNDL - Adj Close,AMC – Volume,BB – Volume,GME – Volume,KOSS – Volume,SNDL – Volume
2021-01-04,2.00999999046326,6.57999992370606,17.25,3.19000005722046,0.550000011920929,29873800,11139200,10022500,245100,273806300
2021-01-05,1.98000001907349,6.76999998092651,17.3700008392334,3.10999989509583,0.540000021457672,28148300,9108900,4961500,116600,268239700
2021-01-06,2.00999999046326,6.71000003814697,18.3600006103516,3.04999995231628,0.605000019073486,67363300,11022300,6056200,34600,793535100
2021-01-07,2.04999995231628,7.05999994277954,18.0799999237061,3.15000009536743,0.685000002384186,26150500,13062800,6129300,84600,845294100
2021-01-08,2.14000010490417,7.55999994277954,17.6900005340576,3.26999998092651,0.681999981403351,39553300,23039300,6482000,62300,476819900
2021-01-11,2.20000004768372,7.65000009536743,19.9400005340576,3.20000004768372,0.708999991416931,41695800,15720100,14908000,39500,557720300
2021-01-12,2.28999996185303,7.63000011444092,19.9500007629395,3.24000000953674,0.667999982833862,41549200,9416000,7060700,40300,360869500
2021-01-13,2.1800000667572,7.44000005722046,31.3999996185303,3.10999989509583,0.657999992370606,45847700,8345500,144501700,28300,300575400
2021-01-14,2.1800000667572,9.10999965667725,39.9099998474121,3.0699999332428,0.689999997615814,49638800,65231300,93717400,26200,354524200
2021-01-15,2.32999992370605,9.84000015258789,35.5,2.90000009536743,0.71399998664856,162356400,153854700,46866400,82600,470349400
2021-01-19,3.05999994277954,12.3500003814697,39.3600006103516,3.61999988555908,0.689999997615814,256276000,112483200,74721900,713500,256146900
2021-01-20,2.97000002861023,12.789999961853,39.1199989318848,3.4300000667572,0.680999994277954,181862200,130140700,33471800,567700,189157100
2021-01-21,2.98000001907349,12.8500003814697,43.0299987792969,3.53999996185303,0.66100001335144,64823800,63272900,56216900,97500,160869100
2021-01-22,3.50999999046326,14.039999961853,65.0100021362305,3.33999991416931,0.644999980926514,268273400,120473600,197157900,121800,180620600
2021-01-25,4.42000007629395,18.0300006866455,76.7900009155273,6,0.600000023841858,443238100,363829100,177874000,8512100,219397100
2021-01-26,4.96000003814697,18.9200000762939,147.979995727539,10,0.560000002384186,456850200,242740800,178588000,34562700,292904100
2021-01-27,19.8999996185303,25.1000003814697,347.510009765625,58,0.601000010967255,1222342500,372222600,93396700,25073500,952048900
2021-01-28,8.63000011444092,14.6499996185303,193.600006103516,41.9599990844727,0.824999988079071,591223900,194906600,58815800,11305200,2136142900
2021-01-29,13.2600002288818,14.1000003814697,325,64,0.814999997615814,602193300,94049200,50566100,11612300,1004866900
2021-02-01,13.3000001907349,14.6300001144409,225,35,1.21000003814697,434608000,78506000,37382200,7973000,1713724900
2021-02-02,7.82000017166138,11.5500001907349,90,20,1.03999996185303,462775900,80520900,78183100,6671000,976988300
2021-02-03,8.97000026702881,12,92.4100036621094,25.5900001525879,1.21000003814697,221405100,50001300,42698500,7228400,979797900
2021-02-04,7.09000015258789,12.1499996185303,53.5,18.7999992370605,1.14999997615814,162985800,33668000,62427300,2913400,623605400
2021-02-05,6.82999992370606,13.2299995422363,63.7700004577637,19.9799995422363,1.12999999523163,197097600,44183100,81345000,4844400,407633500
2021-02-08,6.17999982833862,13.7600002288818,60,19,1.27999997138977,128171500,37068900,25687300,2055000,510421900
2021-02-09,5.5,13.4300003051758,50.310001373291,17.9200000762939,1.64999997615814,102588100,23252500,26843100,1178900,1120966900
2021-02-10,5.80000019073486,13.1000003814697,51.2000007629395,17.0100002288818,2.95000004768372,152810800,27277900,36455000,2409700,2580488900
2021-02-11,5.6100001335144,12.460000038147,51.0999984741211,15.9200000762939,2.38000011444092,55920400,22895500,13056700,847100,2940296600
2021-02-12,5.59000015258789,13.039999961853,52.4000015258789,14.7799997329712,2.07999992370605,46773000,18222500,14573300,1076300,1167158000
2021-02-16,5.65000009536743,12.210000038147,49.5099983215332,14.5,2.19000005722046,61165700,25480200,8175000,1893500,652518000
2021-02-17,5.55000019073486,11.3199996948242,45.939998626709,13.3900003433228,1.72000002861023,38849000,26222900,9186800,533800,486179700
2021-02-18,5.51000022888184,10.9399995803833,40.689998626709,14.25,1.45000004768372,130540800,19052600,23990600,6529600,437568000
2021-02-19,5.69999980926514,10.8999996185303,40.5900001525879,14.0500001907349,1.52999997138977,40249100,20132700,14828200,946100,873234700
2021-02-22,6.55000019073486,10.6800003051758,46,13.3100004196167,1.42999994754791,173409000,21227500,19476000,1520400,255266400
2021-02-23,7.69999980926514,10.3999996185303,44.9700012207031,11.8999996185303,1.25999999046326,264876400,27150600,7565200,613500,397249400
2021-02-24,9.09000015258789,11.3199996948242,91.7099990844727,18.4400005340576,1.45000004768372,376881800,40660700,83111700,13351700,433296300
2021-02-25,8.28999996185303,10.5799999237061,108.730003356934,21.5300006866455,1.37000000476837,445717400,46082800,150308800,38329400,391487400
2021-02-26,8.01000022888184,10.0500001907349,101.73999786377,16.7099990844727,1.33000004291534,137028000,22542400,92194200,8703600,255416500
2021-03-01,9.18000030517578,10.9099998474121,120.400001525879,18.9500007629395,1.35000002384186,143586500,24897300,49794000,8323500,237436900
2021-03-02,8.93000030517578,10.5,118.180000305176,16.1900005340576,1.37999999523163,78135400,12395300,33783000,3695700,320770700
2021-03-03,8.57999992370606,10.1499996185303,124.180000305176,16.9200000762939,1.29999995231628,55651900,14866300,19273900,1755200,179008400
2021-03-04,8.02999973297119,9.84000015258789,132.350006103516,15.3000001907349,1.1599999666214,77822600,26124100,32606900,2749500,278175800
2021-03-05,8.05000019073486,9.44999980926514,137.740005493164,14.7799997329712,1.13499999046326,59734100,23723400,30733700,1900400,320340100
2021-03-08,9.28999996185303,9.75,194.5,18.8500003814697,1.17999994754791,114343800,16479500,63565600,9903600,204485600
2021-03-09,10.5,10.4499998092651,246.899993896484,17.8999996185303,1.38999998569489,150415600,21437800,39099300,5707800,313800800
2021-03-10,9.85000038146973,10.3400001525879,265,30.2800006866455,1.30999994277954,261918600,23939100,71570600,60298900,291241700
2021-03-11,10.2799997329712,10.6999998092651,260,25.2199993133545,1.41999995708466,83933600,12306200,28312500,7933400,253105600
2021-03-12,11.1599998474121,11.8500003814697,264.5,27.8799991607666,1.41999995708466,111146700,25863200,25845900,16085300,244932400
2021-03-15,14.039999961853,11.6800003051758,220.139999389648,28.8999996185303,1.62000000476837,277713300,25353500,24100400,5008300,512280100
2021-03-16,13.0200004577637,11.460000038147,208.169998168945,26.7000007629395,1.50999999046326,125967600,19812400,35422900,2670800,472620800
2021-03-17,13.5600004196167,11.6000003814697,209.809997558594,27.4400005340576,1.53999996185303,78053600,9710500,16481600,3196600,270311400
2021-03-18,14,10.7600002288818,201.75,25.5100002288818,1.46000003814697,121418000,11400300,11764900,1588600,419344400
2021-03-19,13.9300003051758,10.9499998092651,200.270004272461,25.5,1.49000000953674,153206000,10519100,24677300,1633900,208750600
2021-03-22,12.4899997711182,10.710000038147,194.490005493164,23.7999992370605,1.29999995231628,88760100,7903600,10061500,925900,327584400
2021-03-23,10.6599998474121,10.0699996948242,181.75,20.75,1.21000003814697,87923200,12245500,14429100,1492600,265495800
2021-03-24,9.02000045776367,9.57999992370606,120.339996337891,16.4200000762939,1.125,81850700,12636100,24177900,1392800,217869900
